,State,Code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
54,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0
57,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,1
58,Alabama,AL,0,0,0,0,0,0,0,1,0,0,0,1,2,4,6,2,4,1,0,0
59,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
60,Alabama,AL,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
61,Alabama,AL,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,1,1,0,0
62,Alabama,AL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,7,4,3,7
63,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,2
64,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Alabama,AL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
68,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Alaska,AK,1,1,1,2,1,1,1,3,1,4,0,3,1,5,4,2,5,6,3,3
71,Alaska,AK,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,Alaska,AK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,Alaska,AK,1,1,0,1,1,0,0,0,1,0,0,1,1,2,0,2,5,1,1,0
