Year,Total
2000,4329
2001,4083
2002,5535
2003,5730
2004,5100
2005,5565
2006,4460
2007,4165
2008,7794
2009,5722
2010,3805
2011,5362
2012,5138
2013,5758
2014,7487
2015,9048
2016,11443
2017,11900
2018,10208
2019,8998

